RANK,happiness_score,country,gdp_per_capita,inflation,unemployment
146,2.404,Afghanistan,352.604,0,14.1
90,5.199,Albania,6810.11,6.7252,11.588
24,6.576,"United Arab Emirates",53708,4.82789,2.873
57,5.967,Argentina,13650.6,0,6.805
82,5.399,Armenia,7018.05,8.64091,8.608
12,7.162,Australia,65077.7,6.5941,3.701
11,7.163,Austria,52084.7,8.54687,4.992
92,5.173,Azerbaijan,7770.59,13.8523,5.65
19,6.805,Belgium,49942.1,9.59751,5.558
115,4.623,Benin,1304.99,1.35078,1.473
113,4.67,"Burkina Faso",830.044,14.2902,5.348
94,5.155,Bangladesh,2687.9,7.69695,5.247
85,5.371,Bulgaria,13974.4,15.3253,4.268
21,6.647,Bahrain,30146.9,3.62574,1.326
67,5.768,"Bosnia and Herzegovina",7587.59,0,12.657
65,5.821,Belarus,7994.65,15.2097,3.574
71,5.6,Bolivia,3600.12,1.74633,3.552
38,6.293,Brazil,9065.5,9.28011,9.231
142,3.471,Botswana,7726.11,11.6656,23.615
15,7.025,Canada,55509.4,6.8028,5.28
4,7.512,Switzerland,93259.9,2.83503,4.3
44,6.172,Chile,15411.2,11.6439,8.299
72,5.585,China,12662.6,1.97358,4.98
88,5.235,"Ivory Coast",2491.9,5.27617,2.434
102,5.048,Cameroon,1563.49,6.24768,3.687
66,5.781,Colombia,6657.09,10.1772,10.547
116,4.609,Comoros,1484.89,0,5.854
23,6.582,"Costa Rica",13365.4,8.27477,11.325
41,6.221,Cyprus,32048.2,8.39548,6.807
18,6.92,Czechia,27226.6,15.1002,2.224
14,7.034,Germany,48718,6.87257,3.135
2,7.636,Denmark,67790.1,7.69657,4.434
69,5.737,"Dominican Republic",10111.2,8.81109,5.504
96,5.122,Algeria,5023.25,9.26552,12.437
76,5.533,Ecuador,6476.64,3.46617,3.761
29,6.476,Spain,29674.5,8.39058,12.917
36,6.341,Estonia,28114.1,19.3983,5.571
131,4.241,Ethiopia,1027.5,33.8899,3.493
1,7.821,Finland,50734.7,7.12351,6.719
20,6.687,France,40886.3,5.22237,7.308
106,4.958,Gabon,8820.35,4.23125,20.501
17,6.943,"United Kingdom",45564.2,7.92205,3.73
105,4.973,Georgia,6729.85,11.8982,11.657
111,4.872,Ghana,2218.41,31.2559,3.084
109,4.891,Guinea,1515.17,10.493,5.328
58,5.948,Greece,20867.3,9.64526,12.426
39,6.262,Guatemala,5473.21,6.88513,3.051
55,6.022,Honduras,3012.22,9.08964,7.037
47,6.125,Croatia,18673.2,10.7806,6.96
51,6.086,Hungary,18355.8,14.6081,3.609
87,5.24,Indonesia,4787.91,4.20946,3.462
136,3.777,India,2366.31,6.69903,4.822
13,7.041,Ireland,103983,7.82946,4.479
107,4.941,Iraq,6441.92,4.99477,15.588
3,7.557,Iceland,75135.1,8.30875,3.789
9,7.364,Israel,54930.9,4.3936,3.695
31,6.467,Italy,35068.8,8.20129,8.069
63,5.85,Jamaica,6047.22,10.3496,4.083
134,4.152,Jordan,4311,4.22916,18.2
54,6.039,Japan,34017.3,2.4977,2.6
40,6.234,Kazakhstan,11484.4,15.0279,4.86
119,4.543,Kenya,2099.3,7.65986,5.805
114,4.64,Cambodia,1759.61,5.3437,0.247
50,6.106,Kuwait,42823.8,3.98065,2.124
95,5.14,Laos,2054.43,22.9562,1.209
145,2.955,Lebanon,3823.94,171.205,11.599
97,5.122,Liberia,754.533,0,2.99
86,5.33,Libya,8211.38,4.5103,19.319
127,4.362,"Sri Lanka",3342.72,49.7211,6.33
141,3.512,Lesotho,992.857,8.2718,16.668
34,6.446,Lithuania,25078.7,19.705,5.956
6,7.404,Luxembourg,125006,6.33601,4.585
42,6.18,Latvia,21508.4,17.3103,6.815
100,5.06,Morocco,3441.99,6.65704,9.53
62,5.857,Moldova,5715.28,28.7373,0.909
128,4.339,Madagascar,516.772,8.16059,3.186
46,6.128,Mexico,11476.7,7.89628,3.256
89,5.199,"North Macedonia",7485.6,14.2047,14.477
123,4.479,Mali,831.223,9.62148,3.09
33,6.447,Malta,34563.4,6.15376,2.929
126,4.394,Myanmar,1149.02,0,2.83
75,5.547,Montenegro,10093.4,13.0403,15.288
68,5.761,Mongolia,5045.5,15.148,6.211
101,5.048,Mozambique,558.299,10.2794,3.621
133,4.153,Mauritania,2057.38,9.52527,10.602
52,6.071,Mauritius,10239.8,10.7738,6.322
138,3.75,Malawi,643.433,20.954,5.051
70,5.711,Malaysia,11993.2,3.3787,3.93
124,4.459,Namibia,4895.68,6.08128,19.748
104,5.003,Niger,588.899,4.22622,0.552
118,4.552,Nigeria,2162.63,18.8472,3.827
45,6.165,Nicaragua,2252.31,10.4674,4.978
5,7.415,Netherlands,57025,10.0012,3.524
8,7.365,Norway,108798,5.76412,3.233
84,5.377,Nepal,1348.16,7.65079,10.922
10,7.2,"New Zealand",48216.5,7.17222,3.297
121,4.516,Pakistan,1589.26,19.8739,5.548
37,6.309,Panama,17357.6,2.85965,8.202
74,5.559,Peru,7239.11,8.33371,3.85
60,5.904,Philippines,3499.11,5.82116,2.598
48,6.123,Poland,18732.5,14.4295,2.886
56,6.016,Portugal,24515.3,7.83269,6.011
73,5.578,Paraguay,6187.07,9.76557,6.755
28,6.477,Romania,15692.3,13.7955,5.614
80,5.459,Russia,15445.2,0,3.867
143,3.268,Rwanda,966.571,17.6892,15.085
25,6.523,"Saudi Arabia",30447.9,2.47407,5.589
103,5.046,Senegal,1594.99,9.69682,2.968
27,6.48,Singapore,88428.7,6.12106,3.591
140,3.574,"Sierra Leone",475.796,27.2083,3.194
49,6.12,"El Salvador",5048.44,7.19862,2.999
43,6.178,Serbia,9537.68,11.9815,8.684
35,6.391,Slovakia,21279.5,12.7741,6.143
22,6.63,Slovenia,28439.3,8.8337,4.013
7,7.384,Sweden,56299.5,8.36929,7.392
130,4.251,Chad,699.463,5.78803,1.104
135,4.112,Togo,923.24,7.96757,2.065
61,5.891,Thailand,6913.05,6.07741,0.94
83,5.377,Tajikistan,1076.43,0,6.981
78,5.474,Turkmenistan,8792.55,0,4.121
120,4.516,Tunisia,3607.91,8.30646,15.301
112,4.744,Turkey,10674.5,72.3088,10.432
139,3.702,Tanzania,1193.36,4.35027,2.609
117,4.603,Uganda,964.354,7.19579,2.93
98,5.084,Ukraine,4575.98,20.1836,0
30,6.474,Uruguay,20499.2,9.10438,7.877
16,6.977,"United States",77246.7,8.0028,3.65
53,6.063,Uzbekistan,2276.16,11.4466,4.535
77,5.485,Vietnam,4179.01,3.15651,1.535
32,6.455,Kosovo,5290.98,11.5805,0
91,5.194,"South Africa",6766.48,7.03973,28.838
137,3.76,Zambia,1456.9,10.9932,5.993
144,2.995,Zimbabwe,1676.82,104.705,10.087
