rank,country,country_code,happiness_score,rank_voice,rank_stability,rank_effectiveness,rank_quality,rank_corruption,rank_law
1,Finland,FIN,7.821,98.55,79.72,96.7,97.17,99.53,100.0
2,Denmark,DNK,7.636,98.07,77.36,98.58,98.58,100.0,99.53
3,Iceland,ISL,7.557,95.17,95.28,93.87,88.21,91.51,95.28
4,Switzerland,CHE,7.512,99.03,92.45,99.53,94.34,97.17,97.64
5,Netherlands,NLD,7.415,97.58,71.23,95.28,96.7,96.7,93.4
6,Luxembourg,LUX,7.404,97.1,86.32,97.64,98.11,96.23,98.58
7,Sweden,SWE,7.384,96.62,80.19,94.81,96.23,97.64,93.87
8,Norway,NOR,7.365,100.0,76.42,98.11,91.98,98.11,98.11
9,Israel,ISR,7.364,67.63,11.79,85.38,86.32,78.77,81.13
10,New Zealand,NZL,7.2,99.52,96.23,89.15,99.06,99.06,96.7
11,Austria,AUT,7.163,94.2,68.87,91.51,87.26,84.91,95.75
12,Australia,AUS,7.162,93.24,81.6,92.92,99.53,95.28,91.04
13,Ireland,IRL,7.041,96.14,78.77,93.4,95.28,93.87,91.51
14,Germany,DEU,7.034,94.69,67.45,88.21,92.45,95.75,91.98
15,Canada,CAN,7.025,95.65,73.58,94.34,95.75,93.4,92.92
16,United States,USA,6.977,72.95,45.28,86.79,91.04,82.55,88.68
17,United Kingdom,GBR,6.943,89.37,62.26,85.85,93.4,92.92,89.15
18,Czechia,CZE,6.92,80.68,75.0,81.13,88.68,74.53,83.49
19,Belgium,BEL,6.805,92.75,65.57,84.91,86.79,89.62,88.21
20,France,FRA,6.687,85.99,56.13,83.02,85.38,85.38,85.38
21,Bahrain,BHR,6.647,10.14,30.66,72.17,78.3,59.43,65.09
22,Slovenia,SVN,6.63,77.78,70.75,80.66,73.58,78.3,82.55
23,Costa Rica,CRI,6.582,82.13,83.49,55.66,71.23,66.98,64.62
24,United Arab Emirates,ARE,6.576,18.36,70.28,88.68,82.08,83.49,78.77
25,Saudi Arabia,SAU,6.523,7.73,32.08,70.75,65.09,63.68,58.02
26,Taiwan Province of China,TWN,6.512,83.09,72.17,90.57,90.57,83.02,86.79
27,Singapore,SGP,6.48,44.44,97.17,100.0,100.0,98.58,99.06
28,Romania,ROU,6.477,63.77,60.85,53.3,63.68,55.66,62.26
29,Spain,ESP,6.476,79.71,53.3,77.83,75.94,75.0,77.36
30,Uruguay,URY,6.474,91.79,88.21,77.36,74.06,91.98,75.94
31,Italy,ITA,6.467,82.61,58.49,66.98,68.87,68.87,58.49
32,Kosovo,Kosovo,6.455,43.48,37.26,44.34,38.21,47.17,39.62
33,Malta,MLT,6.447,83.57,80.66,76.89,73.11,61.79,76.42
34,Lithuania,LTU,6.446,81.16,69.34,79.72,87.74,76.42,83.02
35,Slovakia,SVK,6.391,75.36,59.91,63.68,76.89,60.38,70.28
36,Estonia,EST,6.341,87.92,71.7,89.62,92.92,91.04,89.62
37,Panama,PAN,6.309,62.32,54.72,47.64,55.19,28.77,40.09
38,Brazil,BRA,6.293,55.56,33.96,30.66,43.87,32.08,43.4
39,Guatemala,GTM,6.262,33.82,34.91,16.51,41.51,11.32,13.21
40,Kazakhstan,KAZ,6.234,19.81,32.55,58.49,52.83,48.58,35.85
41,Cyprus,CYP,6.221,73.91,58.96,75.47,75.47,66.04,68.87
42,Latvia,LVA,6.18,75.85,60.38,75.0,84.91,75.47,79.72
43,Serbia,SRB,6.178,42.51,40.09,57.08,56.13,35.38,49.06
44,Chile,CHL,6.172,78.26,51.42,69.34,81.13,80.66,72.64
45,Nicaragua,NIC,6.165,11.59,33.49,13.68,18.4,7.55,8.96
46,Mexico,MEX,6.128,42.03,21.7,42.45,46.7,17.45,20.75
47,Croatia,HRV,6.125,66.18,66.98,70.28,68.4,59.91,61.32
48,Poland,POL,6.123,65.22,61.79,61.79,74.53,68.4,64.15
49,El Salvador,SLV,6.12,36.71,41.04,38.68,34.91,27.83,24.06
50,Kuwait,KWT,6.106,29.47,54.25,57.55,60.38,58.96,57.55
51,Hungary,HUN,6.086,59.9,67.92,68.87,64.62,51.42,63.21
52,Mauritius,MUS,6.071,65.7,75.47,75.94,84.43,65.57,77.83
53,Uzbekistan,UZB,6.063,12.56,39.62,38.21,31.6,24.53,21.7
54,Japan,JPN,6.039,80.19,86.79,96.23,91.51,90.57,92.45
55,Honduras,HND,6.022,34.3,25.0,19.34,33.49,18.87,16.98
56,Portugal,PRT,6.016,89.86,75.94,80.19,75.0,75.94,83.96
57,Argentina,ARG,5.967,62.8,46.7,41.98,25.94,36.32,34.91
58,Greece,GRC,5.948,76.81,49.06,66.51,67.45,56.6,59.91
59,South Korea,KOR,5.935,74.88,64.62,90.09,83.96,76.89,84.91
60,Philippines,PHL,5.904,43.96,20.28,56.13,53.77,33.49,33.49
61,Thailand,THA,5.891,31.4,31.6,58.02,58.49,35.85,54.72
62,Moldova,MDA,5.857,51.69,22.17,40.57,54.72,42.92,41.98
63,Jamaica,JAM,5.85,64.25,57.55,71.7,58.96,54.25,51.89
64,Kyrgyzstan,KGZ,5.828,28.99,25.47,17.92,28.77,10.38,12.74
65,Belarus,BLR,5.821,5.31,18.4,19.81,7.55,31.6,11.79
66,Colombia,COL,5.781,54.59,23.11,53.77,56.6,41.04,38.68
67,Bosnia and Herzegovina,BIH,5.768,37.68,29.72,12.74,45.75,25.94,41.51
68,Mongolia,MNG,5.761,56.04,63.21,34.91,42.45,33.02,45.75
69,Dominican Republic,DOM,5.737,57.97,55.19,50.0,54.25,37.26,50.47
70,Malaysia,MYS,5.711,47.34,51.89,79.25,72.64,62.26,68.4
71,Bolivia,BOL,5.6,39.61,36.32,31.6,10.38,20.75,9.43
72,China,CHN,5.585,6.28,28.3,68.4,36.79,55.19,52.83
73,Paraguay,PRY,5.578,47.83,48.11,29.72,45.28,15.09,30.19
74,Peru,PER,5.559,49.76,27.83,35.38,59.91,22.17,32.55
75,Montenegro,MNE,5.547,56.52,44.34,51.42,69.34,50.94,48.58
76,Ecuador,ECU,5.533,48.79,38.68,40.09,35.38,29.72,26.89
77,Vietnam,VNM,5.485,13.53,45.75,59.43,36.32,45.75,47.64
78,Turkmenistan,TKM,5.474,0.48,42.45,12.26,1.89,5.66,6.13
79,North Cyprus,,5.467,,,,,,
80,Russia,RUS,5.459,14.49,16.04,25.94,13.21,19.34,12.26
81,Hong Kong S.A.R. of China,HKG,5.425,35.27,66.51,95.75,93.87,92.45,87.74
82,Armenia,ARM,5.399,51.21,17.92,39.15,51.89,56.13,46.23
83,Tajikistan,TJK,5.377,3.86,21.23,23.58,11.32,6.13,10.85
84,Nepal,NPL,5.377,44.93,37.74,16.04,27.83,33.96,37.74
85,Bulgaria,BGR,5.371,57.0,52.36,42.92,61.79,50.0,49.53
86,Libya,LBY,5.33,11.11,3.77,2.36,1.42,3.77,2.36
87,Indonesia,IDN,5.24,52.66,29.25,66.04,59.43,37.74,45.28
88,Ivory Coast,CIV,5.235,34.78,26.42,37.74,46.23,42.45,35.38
89,North Macedonia,MKD,5.199,53.62,50.94,49.53,66.98,43.87,50.0
90,Albania,ALB,5.199,52.17,50.47,56.6,57.55,38.68,47.17
91,South Africa,ZAF,5.194,68.6,19.81,48.11,44.34,44.81,54.25
92,Azerbaijan,AZE,5.173,9.66,15.57,50.94,48.11,16.98,25.94
93,Gambia,GMB,5.164,45.41,48.58,27.36,24.06,46.23,37.26
94,Bangladesh,BGD,5.155,28.02,13.21,23.11,17.92,15.57,29.72
95,Laos,LAO,5.14,4.83,74.06,30.19,16.04,19.81,23.58
96,Algeria,DZA,5.122,21.74,19.34,32.55,14.15,28.3,22.64
97,Liberia,LBR,5.122,46.38,35.85,8.02,16.51,20.28,19.34
98,Ukraine,UKR,5.084,45.89,5.66,33.02,40.57,29.25,18.87
99,Congo,COG,5.075,15.94,46.23,8.96,9.43,7.08,15.09
100,Morocco,MAR,5.06,32.85,34.43,47.17,49.06,41.51,44.81
101,Mozambique,MOZ,5.048,31.88,11.32,25.0,22.64,21.7,16.51
102,Cameroon,CMR,5.048,17.39,10.85,18.87,19.34,13.21,15.57
103,Senegal,SEN,5.046,54.11,40.57,52.83,41.04,53.77,42.92
104,Niger,NER,5.003,36.23,9.91,28.77,23.11,31.13,34.43
105,Georgia,GEO,4.973,48.31,28.77,72.64,81.6,72.17,56.6
106,Gabon,GAB,4.958,24.15,49.53,24.53,25.47,16.04,22.17
107,Iraq,IRQ,4.941,22.22,2.36,9.43,11.79,10.85,3.3
108,Venezuela,VEN,4.925,6.76,12.26,5.19,2.36,1.89,0.47
109,Guinea,GIN,4.891,19.32,16.98,15.57,15.57,18.4,14.15
110,Iran,IRN,4.888,8.7,8.49,18.4,4.25,14.15,17.45
111,Ghana,GHA,4.872,59.42,43.87,50.47,44.81,52.83,51.42
112,Turkey,TUR,4.744,23.19,13.68,43.87,43.4,34.91,36.79
113,Burkina Faso,BFA,4.67,30.43,8.02,21.23,34.43,51.89,28.3
114,Cambodia,KHM,4.64,13.04,44.81,36.79,25.0,9.91,21.23
115,Benin,BEN,4.623,37.2,33.02,45.75,39.62,50.47,28.77
116,Comoros,COM,4.609,24.64,39.15,6.13,10.85,9.43,8.49
117,Uganda,UGA,4.603,26.09,17.45,31.13,33.02,16.51,39.15
118,Nigeria,NGA,4.552,32.37,7.55,14.15,12.26,14.62,19.81
119,Kenya,KEN,4.543,39.13,15.09,41.04,39.15,24.06,40.57
120,Tunisia,TUN,4.516,40.58,24.06,41.51,37.26,47.64,50.94
121,Pakistan,PAK,4.516,25.12,6.6,29.25,20.28,22.64,25.0
122,Palestinian Territories,,4.483,,,,,,
123,Mali,MLI,4.479,23.67,1.42,11.32,28.3,21.23,17.92
124,Namibia,NAM,4.459,63.29,64.15,55.19,52.36,60.85,62.74
125,"Eswatini, Kingdom of",SWZ,4.396,14.98,38.21,26.42,23.58,26.89,29.25
126,Myanmar,MMR,4.394,1.93,2.83,5.66,9.91,12.74,5.66
127,Sri Lanka,LKA,4.362,40.1,18.87,35.85,27.36,40.09,52.36
128,Madagascar,MDG,4.339,38.16,25.94,14.62,20.75,17.92,18.4
129,Egypt,EGY,4.288,9.18,14.15,33.96,24.53,26.42,42.45
130,Chad,TCD,4.251,8.21,8.96,8.49,12.74,4.72,8.02
131,Ethiopia,ETH,4.241,20.77,4.72,24.06,16.98,36.79,26.42
132,Yemen,YEM,4.197,5.8,1.89,0.47,2.83,1.42,1.89
133,Mauritania,MRT,4.153,28.5,27.36,25.47,14.62,23.11,25.47
134,Jordan,JOR,4.152,27.05,35.38,59.91,57.08,58.02,57.08
135,Togo,TGO,4.112,27.54,20.75,28.3,30.66,27.36,30.66
136,India,IND,3.777,49.28,24.53,63.21,50.94,44.34,55.19
137,Zambia,ZMB,3.76,43.0,50.0,27.83,32.08,34.43,33.02
138,Malawi,MWI,3.75,50.72,41.51,20.75,22.17,30.19,44.34
139,Tanzania,TZA,3.702,29.95,36.79,34.43,30.19,43.4,38.21
140,Sierra Leone,SLE,3.574,41.55,42.92,11.79,15.09,32.55,23.11
141,Lesotho,LSO,3.512,50.24,41.98,17.45,29.25,41.98,33.96
142,Botswana,BWA,3.471,60.87,87.26,67.92,72.17,74.06,66.04
143,Rwanda,RWA,3.268,22.71,47.64,61.32,58.02,70.28,56.13
144,Zimbabwe,ZWE,2.995,18.84,16.51,10.85,6.6,8.49,11.32
145,Lebanon,LBN,2.955,30.92,9.43,7.55,13.68,13.68,13.68
146,Afghanistan,AFG,2.404,2.42,0.47,1.89,8.96,12.26,5.19
